カード名称,セゾンプラチナビジネス・アメリカンエキスプレスカード
お支払日,2026/07/06
今回ご請求額,0000522043

利用日,ご利用店名及び商品名,本人・家族区分,支払区分名称,締前入金区分,利用金額,備考
,ご利用者名:中井 大貴      様,,,,,
2026/05/10,ETC時間帯割引(名島→名島),,1回,,560,
2026/05/10,ETC福岡前原 (前原→前原),,1回,,220,
2026/05/11,ETC福岡北九州(福岡西高速→福岡西高速),,1回,,630,
2026/05/11,ETC福岡北九州(福岡西前原→福岡西前原),,1回,,150,
2026/05/11,ETC福岡前原 (前原→前原),,1回,,220,
2026/05/11,FACEBK *VKPHBPZ9Z2,,1回,,142756,
2026/05/16,FACEBK *HB2QZQZZY2,,1回,,124316,
2026/05/21,株式会社クラウドワークス,,1回,,1996,
2026/05/22,ETC福岡北九州(名島→名島),,1回,,630,
2026/05/22,ETC福岡北九州(福岡西高速→福岡西高速),,1回,,630,
2026/05/22,ETC福岡北九州(福岡西前原→福岡西前原),,1回,,150,
2026/05/22,ETC福岡前原 (福岡西→福岡西),,1回,,150,
2026/05/26,FACEBK *Z5VKFQR9Z2,,1回,,142756,
2026/05/27,FACEBK *BA86WQ5AZ2,,1回,,12127,
2026/05/27,FACEBK *XVHT8R52Z2,,1回,,94752,
,【小計】,,,,522043,
,【合計】,,,,522043,
